beneficiary_age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
11,0.003449,0.003653,0.003907,0.004209,0.004552,0.004932,0.005356,0.005827,0.006346,0.006927,0.007556,0.00825,0.008993,0.009801,0.010666,0.011588,0.012541,0.013519,0.014543,0.015645,0.016848,0.018158,0.019602,0.02118,0.022895,0.024754,0.026737,0.028856,0.031114,0.033529,0.036102,0.038844,0.041768,0.044895,0.048237,0.051808,0.055628,0.059726,0.064118,0.068844,0.073924,0.079396,0.085297,0.091668,0.098546,0.105844,0.113568,0.121709,0.13026,0.13919,0.148432,0.158348,0.168976,0.180367,0.19256,0.205618,0.219603,0.234584,0.25065,0.267884,0.286409,0.306352,0.327858,0.351097,0.376253,0.403507,0.433075,0.465172,0.500051,0.537974,0.579249,0.624217,0.673236,0.726751,0.785205,0.849123,0.919081,0.995695,1.079645,1.171648,1.272408,1.382567,1.502718,1.633552,1.775619,1.929335,2.09526,2.273711,2.464812,2.668292,2.883844,3.111313,3.351152,3.604093,3.871406,4.156147,4.455195,4.768284,5.094635,5.431787,5.777479,6.128796,6.4834,6.838655,7.190863,7.536568,7.868843,8.17763,8.447369,8.644624,8.739435,8.816816,8.88964,8.984858,9.127689,9.370682,9.867382,10.978454,13.959149,28.091658
12,0.003377,0.003572,0.003818,0.004111,0.004444,0.004813,0.005226,0.005684,0.00619,0.006758,0.007373,0.008052,0.00878,0.009573,0.010423,0.011329,0.012267,0.01323,0.014239,0.015326,0.016516,0.017812,0.019242,0.020807,0.02251,0.024356,0.026328,0.028435,0.030682,0.033086,0.035648,0.03838,0.041294,0.044411,0.047743,0.051304,0.055114,0.059203,0.063585,0.0683,0.07337,0.078833,0.084723,0.091084,0.097951,0.105238,0.112951,0.121081,0.129621,0.138539,0.147771,0.157674,0.16829,0.179669,0.191849,0.204894,0.218865,0.233832,0.249883,0.267102,0.285611,0.305537,0.327025,0.350245,0.375382,0.402615,0.43216,0.464233,0.499085,0.53698,0.578224,0.623159,0.672143,0.725619,0.784031,0.847903,0.917812,0.994372,1.078263,1.170201,1.270891,1.380973,1.50104,1.631783,1.77375,1.927359,2.09317,2.271497,2.462466,2.665804,2.881207,3.108519,3.348193,3.600959,3.868088,4.152633,4.451475,4.764348,5.090476,5.427396,5.77285,6.123927,6.478287,6.833299,7.185265,7.530732,7.86278,8.171355,8.44091,8.63803,8.732777,8.810104,8.882878,8.97803,9.120763,9.363589,9.859947,10.970259,13.948916,28.071762
13,0.003306,0.003494,0.003732,0.004016,0.004338,0.004697,0.005098,0.005544,0.006037,0.006591,0.007191,0.007855,0.008568,0.009344,0.010178,0.011068,0.01199,0.012937,0.013929,0.015001,0.016175,0.017456,0.018871,0.020421,0.02211,0.023943,0.025901,0.027995,0.03023,0.032622,0.035173,0.037893,0.040796,0.043901,0.047223,0.050773,0.054572,0.05865,0.063021,0.067726,0.072785,0.078236,0.084116,0.090465,0.09732,0.104596,0.112297,0.120414,0.128942,0.137848,0.147066,0.156957,0.16756,0.178925,0.191091,0.204122,0.218078,0.233029,0.249064,0.266266,0.284758,0.304665,0.326134,0.349333,0.374448,0.401658,0.431178,0.463224,0.498048,0.535912,0.577123,0.622023,0.670968,0.724402,0.782768,0.846591,0.916445,0.992947,1.076773,1.168641,1.269254,1.379252,1.499228,1.629872,1.771732,1.925225,2.09091,2.269103,2.459928,2.663114,2.878355,3.105495,3.344989,3.597565,3.864494,4.148826,4.447443,4.760082,5.085965,5.422633,5.767829,6.118643,6.472738,6.827485,7.179188,7.524398,7.856197,8.164543,8.433897,8.63087,8.725545,8.802815,8.875535,8.970615,9.11324,9.355884,9.851871,10.961355,13.937792,28.050127
14,0.003237,0.003418,0.003648,0.003923,0.004236,0.004584,0.004974,0.005407,0.005887,0.006427,0.007012,0.00766,0.008357,0.009117,0.009934,0.010806,0.011711,0.01264,0.013615,0.014669,0.015826,0.017091,0.01849,0.020024,0.021697,0.023515,0.025459,0.027538,0.02976,0.032138,0.034675,0.037382,0.040273,0.043366,0.046676,0.050214,0.054001,0.058067,0.062427,0.06712,0.072167,0.077607,0.083474,0.089811,0.096654,0.103916,0.111604,0.119708,0.128223,0.137115,0.14632,0.156197,0.166785,0.178135,0.190286,0.203301,0.217241,0.232176,0.248193,0.265378,0.28385,0.303738,0.325186,0.348363,0.373454,0.400639,0.430132,0.46215,0.496943,0.534775,0.57595,0.620812,0.669715,0.723105,0.781422,0.845192,0.914989,0.991427,1.075185,1.166978,1.26751,1.377419,1.497297,1.627836,1.769582,1.922951,2.088503,2.266552,2.457224,2.660246,2.875314,3.102272,3.341574,3.593947,3.860661,4.144765,4.443143,4.755532,5.081154,5.417552,5.762473,6.113005,6.466817,6.821281,7.172702,7.517637,7.849171,8.15727,8.426409,8.623225,8.717825,8.795034,8.867695,8.962699,9.10521,9.347659,9.843248,10.951845,13.925909,28.027006
15,0.003171,0.003345,0.003566,0.003833,0.004136,0.004474,0.004852,0.005274,0.00574,0.006266,0.006836,0.007469,0.008149,0.008891,0.00969,0.010545,0.011431,0.012341,0.013298,0.014333,0.015472,0.016718,0.018099,0.019615,0.021272,0.023073,0.025,0.027064,0.02927,0.031633,0.034157,0.03685,0.039727,0.042806,0.046102,0.049627,0.053402,0.057455,0.061802,0.066482,0.071517,0.076943,0.082797,0.089121,0.09595,0.103199,0.110873,0.118963,0.127463,0.136341,0.145532,0.155393,0.165966,0.1773,0.189435,0.202433,0.216356,0.231272,0.247271,0.264436,0.282889,0.302755,0.324181,0.347334,0.372401,0.399559,0.429024,0.461012,0.495773,0.53357,0.574708,0.619529,0.668389,0.721731,0.779997,0.843712,0.913448,0.989821,1.073506,1.16522,1.265666,1.375481,1.495258,1.625686,1.767311,1.920551,2.085962,2.263861,2.454371,2.657222,2.872108,3.098875,3.337975,3.590135,3.856624,4.140488,4.438614,4.75074,5.076087,5.412202,5.756831,6.107069,6.460583,6.814747,7.165873,7.510517,7.841772,8.149612,8.418524,8.615175,8.709695,8.786838,8.859438,8.954362,9.096753,9.338997,9.834168,10.94183,13.913391,28.00265
16,0.003106,0.003273,0.003487,0.003746,0.00404,0.004368,0.004735,0.005144,0.005597,0.006109,0.006664,0.00728,0.007943,0.008668,0.009449,0.010284,0.011151,0.012041,0.012978,0.013994,0.015112,0.016338,0.0177,0.019197,0.020835,0.022617,0.024527,0.026573,0.028762,0.031109,0.033616,0.036294,0.039155,0.04222,0.045502,0.049013,0.052773,0.056812,0.061145,0.065811,0.070832,0.076244,0.082084,0.088394,0.095208,0.102442,0.110101,0.118176,0.126661,0.135523,0.144698,0.154544,0.1651,0.176417,0.188534,0.201515,0.215419,0.230316,0.246294,0.263439,0.28187,0.301713,0.323116,0.346244,0.371284,0.398415,0.42785,0.459806,0.494532,0.532293,0.573392,0.61817,0.666984,0.720277,0.778489,0.842144,0.911817,0.98812,1.071729,1.163361,1.263716,1.373433,1.493102,1.623413,1.764912,1.918015,2.083279,2.261019,2.45136,2.65403,2.868725,3.095291,3.334178,3.586114,3.852366,4.135978,4.43384,4.745688,5.070746,5.406562,5.750885,6.100812,6.454012,6.807862,7.158676,7.503013,7.833975,8.141541,8.410215,8.606691,8.701127,8.778202,8.850738,8.945577,9.087842,9.329871,9.824601,10.931277,13.900201,27.976973
17,0.003043,0.003204,0.003411,0.003661,0.003946,0.004264,0.00462,0.005017,0.005458,0.005955,0.006496,0.007096,0.007742,0.008448,0.00921,0.010025,0.010872,0.011742,0.012657,0.013652,0.014749,0.015954,0.017294,0.01877,0.020387,0.022149,0.024039,0.026066,0.028237,0.030565,0.033055,0.035715,0.03856,0.041608,0.044874,0.048369,0.052114,0.056138,0.060456,0.065107,0.070112,0.075509,0.081334,0.087628,0.094426,0.101644,0.109288,0.117346,0.125814,0.13466,0.143818,0.153647,0.164185,0.175484,0.187583,0.200544,0.214428,0.229304,0.245262,0.262384,0.280792,0.300612,0.321988,0.345091,0.370103,0.397203,0.426607,0.45853,0.49322,0.530942,0.572,0.616733,0.665499,0.718739,0.776895,0.840489,0.910095,0.986325,1.069855,1.1614,1.261661,1.371274,1.490832,1.621021,1.762388,1.915348,2.080459,2.258034,2.448198,2.65068,2.865176,3.091531,3.330197,3.5819,3.847905,4.131255,4.42884,4.740399,5.065156,5.400661,5.744665,6.094268,6.44714,6.800662,7.151151,7.49517,7.825825,8.133106,8.401531,8.597825,8.692174,8.769177,8.841646,8.936398,9.07853,9.320335,9.814606,10.920256,13.886427,27.950164
18,0.002981,0.003136,0.003336,0.003579,0.003855,0.004163,0.004509,0.004895,0.005323,0.005806,0.006331,0.006915,0.007544,0.008232,0.008974,0.00977,0.010595,0.011443,0.012337,0.013309,0.014383,0.015565,0.016882,0.018336,0.01993,0.02167,0.023538,0.025545,0.027694,0.030003,0.032473,0.035114,0.03794,0.04097,0.044219,0.047696,0.051424,0.055431,0.059732,0.064367,0.069356,0.074737,0.080545,0.086822,0.093604,0.100805,0.108431,0.116472,0.124922,0.13375,0.142891,0.152701,0.16322,0.1745,0.186578,0.199519,0.213382,0.228236,0.244171,0.26127,0.279653,0.299448,0.320798,0.343872,0.368855,0.395924,0.425295,0.457182,0.491834,0.529516,0.57053,0.615217,0.663932,0.717118,0.775214,0.838744,0.90828,0.984434,1.067882,1.159336,1.259498,1.369004,1.488445,1.618507,1.759737,1.912548,2.077498,2.254902,2.444882,2.647168,2.861457,3.087593,3.326029,3.577488,3.843237,4.126313,4.423611,4.73487,5.059313,5.394494,5.738166,6.087431,6.439963,6.793144,7.143294,7.486981,7.817316,8.124301,8.392466,8.588571,8.682828,8.759758,8.832156,8.926817,9.068812,9.310383,9.804178,10.90876,13.872065,27.922218
19,0.002921,0.00307,0.003263,0.003498,0.003767,0.004066,0.004401,0.004775,0.005191,0.005661,0.006171,0.006739,0.00735,0.00802,0.008743,0.009517,0.010321,0.011147,0.012017,0.012966,0.014016,0.015173,0.016466,0.017895,0.019465,0.021181,0.023025,0.025008,0.027135,0.029422,0.03187,0.03449,0.037296,0.040306,0.043535,0.046993,0.050702,0.054691,0.058974,0.063591,0.068562,0.073924,0.079715,0.085974,0.092737,0.09992,0.107527,0.115549,0.123981,0.13279,0.141911,0.151701,0.1622,0.173459,0.185516,0.198434,0.212275,0.227105,0.243016,0.260089,0.278446,0.298213,0.319535,0.342579,0.36753,0.394566,0.423901,0.45575,0.490363,0.528001,0.568969,0.613606,0.662268,0.715395,0.773429,0.836891,0.906353,0.982426,1.065786,1.157144,1.257202,1.366594,1.485911,1.615839,1.756923,1.909578,2.074359,2.25158,2.441366,2.643446,2.857515,3.083421,3.321613,3.572816,3.838294,4.121081,4.418077,4.729018,5.053131,5.38797,5.731292,6.080201,6.432374,6.785194,7.134988,7.478324,7.808323,8.114994,8.382887,8.578791,8.672953,8.749803,8.822128,8.916692,9.058543,9.299869,9.79316,10.896616,13.856899,27.89272
20,0.002863,0.003005,0.003192,0.00342,0.00368,0.003971,0.004296,0.004659,0.005063,0.005519,0.006015,0.006567,0.007161,0.007813,0.008515,0.009269,0.010051,0.010854,0.0117,0.012624,0.013648,0.01478,0.016047,0.017449,0.018993,0.020683,0.022501,0.024459,0.026561,0.028823,0.031247,0.033844,0.036627,0.039615,0.042822,0.046259,0.049948,0.053916,0.058179,0.062776,0.067727,0.07307,0.078841,0.08508,0.091824,0.098986,0.106573,0.114575,0.122986,0.131774,0.140874,0.150643,0.161121,0.172357,0.184391,0.197285,0.211101,0.225906,0.24179,0.258836,0.277165,0.296902,0.318193,0.341205,0.366121,0.393121,0.422418,0.454227,0.488796,0.526388,0.567306,0.61189,0.660494,0.71356,0.771526,0.834915,0.904298,0.980285,1.063551,1.154807,1.254753,1.364023,1.483208,1.612992,1.753921,1.906407,2.071007,2.248035,2.437613,2.639471,2.853308,3.078967,3.316899,3.567829,3.833017,4.115497,4.412168,4.722771,5.046532,5.381007,5.723955,6.072484,6.424274,6.776711,7.126124,7.469087,7.798726,8.105064,8.372665,8.568356,8.662415,8.739182,8.811428,8.90589,9.047587,9.28865,9.781405,10.883661,13.840723,27.861262
