beneficiary_age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
11,0.6547,0.693,0.7409,0.7979,0.8624,0.934,1.0137,1.102,1.1994,1.3083,1.426,1.5555,1.6941,1.8445,2.0054,2.1763,2.3529,2.5335,2.7223,2.925,3.1459,3.3858,3.6494,3.9365,4.2478,4.5838,4.9411,5.3211,5.7244,6.1537,6.6089,7.0913,7.6032,8.1472,8.7251,9.3384,9.9898,10.6835,11.4209,12.2074,13.0452,13.9389,14.8924,15.9102,16.9956,18.1325,19.3196,20.5528,21.829,23.1412,24.4778,25.8879,27.3727,28.9344,30.5729,32.2909,34.0899,35.9717,37.9396,39.9951,42.1431,44.3873,46.7318,49.1811,51.7393,54.4072,57.1867,60.0769,63.0772,66.1849,69.3976,72.7118,76.1215,79.6228,83.2073,86.8674,90.5938,94.3751,98.1984,102.0489,105.9082,109.7539,113.5625,117.3144,120.9879,124.5613,128.0202,131.3489,134.5334,137.5594,140.4192,143.1119,145.6461,148.0328,150.2857,152.4286,154.4383,156.3192,158.074,159.7,161.1991,162.5737,163.8303,164.9753,166.0123,166.947,167.7768,168.494,169.0822,169.4914,169.6823,169.8353,169.977,170.1593,170.4263,170.8636,171.6967,173.3104,176.4554,182.5958
12,0.6409,0.6778,0.7241,0.7793,0.8419,0.9114,0.989,1.075,1.17,1.2763,1.3913,1.5181,1.654,1.8016,1.9596,2.1277,2.3015,2.4794,2.6654,2.8655,3.0838,3.3212,3.5824,3.8672,4.1763,4.5102,4.8654,5.2434,5.6449,6.0723,6.5258,7.0066,7.5169,8.0593,8.6357,9.2475,9.8975,10.5898,11.3258,12.1111,12.9476,13.84,14.7922,15.8089,16.893,18.0288,19.2147,20.4468,21.722,23.0331,24.3687,25.7778,27.2616,28.8224,30.46,32.1771,33.9753,35.8563,37.8235,39.8784,42.0257,44.2692,46.6131,49.0618,51.6194,54.2868,57.0658,59.9555,62.9553,66.0626,69.2748,72.5886,75.9979,79.4988,83.0829,86.7426,90.4688,94.2496,98.0726,101.9229,105.7819,109.6273,113.4356,117.1873,120.8606,124.4337,127.8924,131.221,134.4053,137.4312,140.2908,142.9834,145.5175,147.9041,150.1569,152.2997,154.3094,156.1902,157.945,159.5709,161.07,162.4446,163.7011,164.846,165.8831,166.8178,167.6475,168.3647,168.9529,169.3622,169.553,169.706,169.8477,170.03,170.2969,170.7342,171.5674,173.181,176.3261,182.4665
13,0.6275,0.6629,0.7077,0.7612,0.8219,0.8894,0.9648,1.0485,1.141,1.2448,1.3571,1.4811,1.614,1.7586,1.9136,2.0787,2.2494,2.4244,2.6074,2.8046,3.0201,3.2547,3.5133,3.7955,4.1021,4.4337,4.7866,5.1624,5.5618,5.9872,6.4387,6.9177,7.4261,7.9668,8.5416,9.1517,9.8001,10.4909,11.2255,12.0092,12.8443,13.7353,14.6861,15.7014,16.7843,17.9187,19.1033,20.3342,21.6082,22.9181,24.2526,25.6606,27.1433,28.7031,30.3397,32.0558,33.8531,35.7332,37.6995,39.7536,41.9001,44.1429,46.486,48.9341,51.491,54.1578,56.9361,59.8253,62.8245,65.9312,69.1429,72.4561,75.865,79.3654,82.949,86.6083,90.334,94.1145,97.9371,101.787,105.6456,109.4908,113.2987,117.0501,120.7231,124.296,127.7544,131.0827,134.2668,137.2925,140.1519,142.8443,145.3783,147.7647,150.0174,152.1601,154.1696,156.0503,157.805,159.4308,160.9299,162.3044,163.5609,164.7058,165.7428,166.6775,167.5072,168.2243,168.8125,169.2218,169.4126,169.5656,169.7073,169.8896,170.1565,170.5938,171.4268,173.0404,176.1855,182.3258
14,0.6145,0.6485,0.6918,0.7437,0.8025,0.8681,0.9413,1.0226,1.1127,1.2138,1.3233,1.4444,1.5743,1.7158,1.8677,2.0296,2.1971,2.3687,2.5486,2.7426,2.9551,3.1867,3.4422,3.7217,4.0255,4.3544,4.7047,5.0781,5.4751,5.8983,6.3477,6.8246,7.331,7.8698,8.4426,9.051,9.6977,10.3868,11.1196,11.9018,12.7353,13.6247,14.5741,15.5879,16.6693,17.8023,18.9855,20.215,21.4877,22.7963,24.1295,25.5363,27.0178,28.5764,30.2119,31.927,33.7232,35.6024,37.5677,39.6209,41.7665,44.0085,46.3508,48.7982,51.3544,54.0204,56.7981,59.6865,62.6852,65.7913,69.0024,72.3151,75.7234,79.2233,82.8064,86.4653,90.1905,93.9705,97.7927,101.6422,105.5005,109.3452,113.1528,116.9039,120.5765,124.1491,127.6073,130.9353,134.1192,137.1446,140.0038,142.696,145.2298,147.6161,149.8686,152.0112,154.0206,155.9012,157.6558,159.2815,160.7804,162.1549,163.4113,164.5561,165.5931,166.5277,167.3573,168.0745,168.6626,169.0719,169.2627,169.4157,169.5574,169.7396,170.0066,170.4438,171.2768,172.8903,176.0353,182.1755
15,0.6018,0.6346,0.6764,0.7266,0.7837,0.8473,0.9183,0.9974,1.085,1.1834,1.2901,1.4082,1.5351,1.6734,1.8219,1.9804,2.1445,2.3128,2.4892,2.6798,2.8889,3.1171,3.3695,3.6458,3.9466,4.2725,4.62,4.9907,5.3851,5.8058,6.2527,6.7273,7.2315,7.7681,8.3389,8.9453,9.5901,10.2773,11.0083,11.7887,12.6205,13.5082,14.4559,15.4681,16.5479,17.6794,18.8611,20.0892,21.3604,22.6676,23.9994,25.4049,26.8852,28.4425,30.0768,31.7907,33.5858,35.4638,37.4282,39.4803,41.625,43.8661,46.2076,48.6541,51.2095,53.8748,56.6518,59.5396,62.5376,65.6431,68.8536,72.1657,75.5734,79.0728,82.6555,86.3138,90.0386,93.8182,97.64,101.4891,105.347,109.1914,112.9987,116.7495,120.4218,123.9942,127.4521,130.7798,133.9635,136.9887,139.8478,142.5398,145.0734,147.4595,149.7119,151.8543,153.8636,155.744,157.4985,159.1241,160.623,161.9974,163.2538,164.3985,165.4354,166.37,167.1996,167.9167,168.5048,168.914,169.1048,169.2578,169.3996,169.5818,169.8487,170.2858,171.1188,172.7322,175.877,182.0172
16,0.5895,0.621,0.6614,0.7101,0.7654,0.827,0.896,0.9728,1.0579,1.1537,1.2576,1.3727,1.4964,1.6314,1.7765,1.9315,2.092,2.2566,2.4294,2.6163,2.8217,3.0464,3.2952,3.568,3.8655,4.1881,4.5325,4.9001,5.2916,5.7095,6.1538,6.6258,7.1275,7.6618,8.2303,8.8345,9.4771,10.1622,10.8913,11.6698,12.4996,13.3856,14.3315,15.3419,16.42,17.5498,18.7299,19.9563,21.2259,22.5317,23.862,25.266,26.7449,28.3008,29.9338,31.6464,33.4403,35.3171,37.2803,39.3314,41.4751,43.7152,46.0558,48.5014,51.056,53.7205,56.4967,59.3838,62.3811,65.486,68.6958,72.0074,75.4146,78.9134,82.4956,86.1535,89.8778,93.657,97.4784,101.3271,105.1847,109.0288,112.8358,116.5862,120.2584,123.8304,127.2881,130.6157,133.7991,136.8242,139.683,142.3749,144.9084,147.2943,149.5466,151.6889,153.6981,155.5784,157.3328,158.9583,160.4571,161.8314,163.0877,164.2324,165.2692,166.2038,167.0333,167.7504,168.3385,168.7477,168.9385,169.0914,169.2332,169.4154,169.6823,170.1194,170.9523,172.5656,175.7103,181.8503
17,0.5775,0.6078,0.6468,0.694,0.7477,0.8074,0.8744,0.9489,1.0316,1.1247,1.2258,1.3379,1.4584,1.59,1.7316,1.8829,2.0397,2.2004,2.3693,2.5524,2.7539,2.9747,3.2196,3.4887,3.7824,4.1015,4.4424,4.8067,5.1949,5.6097,6.051,6.5201,7.0191,7.5507,8.1167,8.7185,9.3587,10.0416,10.7685,11.5448,12.3726,13.2565,14.2004,15.2089,16.2852,17.4131,18.5914,19.8161,21.0841,22.3882,23.7169,25.1193,26.5967,28.1512,29.7827,31.4939,33.2865,35.162,37.124,39.1739,41.3165,43.5555,45.8951,48.3398,50.8935,53.5572,56.3326,59.219,62.2156,65.3198,68.529,71.84,75.2466,78.745,82.3267,85.9841,89.7081,93.4869,97.3079,101.1563,105.0136,108.8575,112.6642,116.4145,120.0864,123.6583,127.1158,130.4432,133.6265,136.6515,139.5102,142.202,144.7354,147.1212,149.3734,151.5156,153.5248,155.405,157.1594,158.7848,160.2836,161.6578,162.9141,164.0587,165.0955,166.03,166.8595,167.5766,168.1647,168.5739,168.7646,168.9176,169.0593,169.2415,169.5084,169.9456,170.7784,172.3916,175.5362,181.6761
18,0.5659,0.595,0.6327,0.6784,0.7304,0.7884,0.8533,0.9257,1.006,1.0965,1.1948,1.3039,1.4211,1.5493,1.6873,1.8349,1.9877,2.1445,2.3093,2.4882,2.6856,2.9022,3.143,3.408,3.6977,4.0128,4.3499,4.7104,5.0951,5.5065,5.9444,6.4104,6.9063,7.435,7.9982,8.5972,9.2349,9.9152,10.6397,11.4136,12.2392,13.1209,14.0627,15.0691,16.1433,17.2693,18.4457,19.6685,20.9346,22.2369,23.5639,24.9647,26.4404,27.9933,29.6232,31.333,33.1241,34.9983,36.959,39.0076,41.149,43.3869,45.7254,48.1691,50.7219,53.3847,56.1593,59.0449,62.0408,65.1443,68.353,71.6634,75.0695,78.5674,82.1486,85.8056,89.5292,93.3077,97.1284,100.9766,104.8336,108.6772,112.4838,116.2339,119.9057,123.4775,126.9349,130.2623,133.4455,136.4704,139.3291,142.0209,144.5542,146.94,149.1922,151.3344,153.3435,155.2238,156.9781,158.6035,160.1023,161.4765,162.7327,163.8773,164.9141,165.8486,166.6781,167.3952,167.9832,168.3924,168.5832,168.7362,168.8779,169.0601,169.327,169.7641,170.597,172.2101,175.3546,181.4944
19,0.5545,0.5825,0.6189,0.6632,0.7136,0.7699,0.8329,0.9031,0.9811,1.0691,1.1645,1.2706,1.3847,1.5094,1.6438,1.7875,1.9364,2.089,2.2496,2.4241,2.617,2.8292,3.0655,3.3261,3.6114,3.9222,4.2551,4.6116,4.9923,5.3998,5.8341,6.2965,6.789,7.3144,7.8745,8.4705,9.1053,9.7828,10.5046,11.276,12.099,12.9783,13.9177,14.9219,15.9938,17.1176,18.2919,19.5127,20.7768,22.0772,23.4023,24.8012,26.2751,27.8263,29.4546,31.1627,32.9522,34.8249,36.7841,38.8314,40.9714,43.2081,45.5454,47.988,50.5397,53.2015,55.9752,58.86,61.8551,64.958,68.1659,71.4757,74.8813,78.3787,81.9594,85.616,89.3392,93.1174,96.9378,100.7857,104.6425,108.4859,112.2924,116.0423,119.714,123.2857,126.7431,130.0704,133.2536,136.2785,139.1372,141.829,144.3623,146.7481,149.0003,151.1425,153.1517,155.0319,156.7863,158.4117,159.9105,161.2847,162.541,163.6856,164.7224,165.6569,166.4864,167.2034,167.7915,168.2007,168.3915,168.5444,168.6861,168.8683,169.1352,169.5724,170.4052,172.0184,175.1629,181.3027
20,0.5433,0.5702,0.6054,0.6484,0.6973,0.7519,0.813,0.8812,0.9569,1.0424,1.1351,1.2382,1.349,1.4704,1.601,1.7409,1.8856,2.034,2.1902,2.3601,2.5484,2.7559,2.9875,3.2432,3.5238,3.83,4.1582,4.5102,4.8866,5.2899,5.7201,6.1785,6.6673,7.189,7.7456,8.3382,8.9698,9.6442,10.363,11.1315,11.9517,12.8283,13.7652,14.7668,15.8363,16.9577,18.1297,19.3482,20.6101,21.9084,23.2314,24.6283,26.1003,27.6495,29.2759,30.9823,32.77,34.641,36.5986,38.6443,40.7829,43.0181,45.3541,47.7954,50.346,53.0067,55.7794,58.6632,61.6575,64.7595,67.9667,71.2758,74.6807,78.1775,81.7578,85.4139,89.1367,92.9144,96.7345,100.5821,104.4386,108.2818,112.0881,115.8379,119.5094,123.081,126.5383,129.8656,133.0488,136.0736,138.9323,141.6241,144.1574,146.5433,148.7955,150.9377,152.9468,154.8271,156.5815,158.207,159.7057,161.08,162.3363,163.4809,164.5177,165.4522,166.2818,166.9988,167.5869,167.9961,168.1869,168.3398,168.4816,168.6638,168.9307,169.3678,170.2007,171.8139,174.9584,181.0982
